song_id,song_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
4S78rQHd6cSC8g2TfdNJTf,Lloret de Mar,0.773,0.744,-6.478,0.058,0.431,0.000119,0.0836,0.348,104.997,125732
6rCz0E0G6El6irdft7Zjgp,Falochrony,0.736,0.698,-7.316,0.0475,0.104,2.46e-05,0.069,0.519,104.975,169143
3is9xGBEPrkLAF0fryCLK7,taki mały ja,0.725,0.71,-9.176,0.127,0.258,0.0,0.0731,0.502,128.045,174375
38GSwzJGcEnENqcrZ8dADJ,MADONNA,0.623,0.648,-6.303,0.0501,0.0131,0.0,0.663,0.306,148.891,159463
1ZIscVoYHftgA5STle5cPo,Multisport,0.792,0.667,-7.165,0.186,0.0608,0.0,0.114,0.429,139.886,179571
62x7s8C2GFiu9Ju3eSZ5GB,SOBOTA WIECZÓR,0.717,0.833,-6.106,0.137,0.0338,0.00118,0.313,0.428,129.882,132000
3XhllIfCF2T1RaJwbBWSdi,Róż,0.738,0.572,-7.773,0.163,0.571,0.0,0.643,0.457,121.08,171694
0dj3BH56uFL54lstcr8irO,Pardon,0.755,0.564,-7.955,0.277,0.343,0.0,0.167,0.502,139.797,189429
0MTTFee7cTSd46njlPKBZe,Przester,0.738,0.68,-6.186,0.195,0.0956,7.85e-05,0.288,0.592,116.989,183749
5G7d637BU8TQbUjcE1qjMt,B012,0.69,0.617,-7.387,0.0956,0.153,0.0,0.086,0.489,99.985,138600
6uup1nPNzgIDtiYo0Up0U5,Last night,0.769,0.626,-10.08,0.265,0.631,0.0067,0.291,0.394,140.065,123429
5QOdYa6XQMdIm6fMYhjHQk,Woda Księżycowa,0.573,0.753,-8.008,0.373,0.0194,0.0,0.549,0.46,138.0,191304
4N9IE3251WOeuVkL9gYg3y,Noc Aniołów,0.727,0.668,-8.407,0.178,0.44,0.00152,0.271,0.525,125.043,157560
0peRfvtx1Je91FxQtii5DJ,Chyba że z Tobą,0.739,0.575,-10.244,0.0396,0.633,0.0361,0.122,0.663,128.056,131250
3mzugJrKyhJNzZKS0RgWBg,MILLIE WALKY,0.762,0.668,-6.7,0.14,0.0383,7.28e-06,0.0999,0.631,76.971,134026
6RfHSlo0xOa5s3WnYj9xJa,Ona Mówi,0.603,0.636,-9.321,0.158,0.167,0.00448,0.106,0.18,169.985,152471
5OC347cwcGpiwnHt0YmToq,"było, minęło",0.797,0.608,-6.804,0.0424,0.666,0.0309,0.174,0.482,105.982,207170
5y0CCj9ENhM4G3gebGlnzb,MAMA POWTARZAŁA,0.648,0.593,-7.409,0.0639,0.196,0.0,0.103,0.204,91.968,202054
5fqjgdj9SMB4Jjmyc9cY1J,Double Match,0.735,0.433,-7.117,0.108,0.382,0.0,0.133,0.382,122.994,144876
7q2axmQBSD88VaASEJ9oX4,1 na 100,0.543,0.638,-8.21,0.109,0.181,0.000231,0.149,0.551,126.941,187000
2nUpzFnUPY6Omv9XWa292d,Genziara,0.71,0.892,-6.054,0.0658,0.0676,0.0089,0.632,0.277,114.013,140000
4kcMDgaU8xb4otoDv5c4kD,Drive,0.803,0.627,-8.07,0.328,0.365,0.0,0.12,0.427,86.992,202759
0spb4Kfcsn8t37E1Qv7f3m,911,0.797,0.893,-6.728,0.232,0.0809,3.02e-05,0.113,0.836,103.099,149126
1Wh2SwNbe3OQCoskPc3fD8,"Tam słońce, gdzie my",0.757,0.787,-5.984,0.0404,0.527,7.68e-05,0.111,0.784,128.035,195093
3PyuAlvHJbv1qFl9LzStFl,AK47,0.593,0.944,-1.978,0.0967,0.0174,0.0,0.597,0.483,161.865,216296
2CJoMNzcvbpV38fKqAOaQ3,Prawie straciłem głos,0.645,0.818,-6.539,0.153,0.264,0.0,0.522,0.736,88.002,144472
5i0KjwixfbjGyD1Dxa6vxS,"zostań, proszę",0.695,0.731,-6.849,0.0504,0.238,0.0,0.1,0.416,120.005,164691
1T4n3A9KWa2Gno5tJlMqwf,INTRODESTRUKCJA,0.732,0.671,-7.615,0.244,0.475,0.0,0.0998,0.362,129.976,134769
6RL09jLWzXpMaWUKU0aenO,W GORĄCEJ WODZIE COMPANY,0.78,0.724,-6.72,0.19,0.354,0.0,0.272,0.431,93.975,166038
1kuhnhugcuXf4CiNdqCRUU,BFF,0.685,0.723,-7.159,0.0887,0.0293,1.83e-05,0.103,0.435,145.955,174247
1LTAYhorx76972Pr5ZOk8b,NDA,0.763,0.831,-5.568,0.0453,0.0668,0.0,0.0618,0.476,136.009,166765
3CgWmnnox6kF0NvJpZWSv8,Te numery,0.74,0.777,-7.19,0.189,0.147,0.0,0.171,0.543,144.921,157241
4BgTgPsNeDz2KG4QsshjL9,BLUEBERRY,0.717,0.725,-6.287,0.162,0.467,0.0,0.0987,0.645,119.926,176000
7F49bujJnIwGCGTHaFcUW1,Kawałek nieba,0.709,0.766,-7.057,0.268,0.278,0.0,0.216,0.669,174.943,169371
2WQ3sWVxEYNLaBfeZBZi8Z,HEAVY,0.687,0.684,-7.95,0.204,0.08,0.0,0.135,0.476,151.917,151579
1MsoH4Fz8O9PKbTW5SkXbJ,och i ach,0.684,0.753,-4.915,0.0272,0.021,0.0,0.241,0.876,113.99,181383
2yR2sziCF4WEs3klW1F38d,KEEP UP,0.476,0.829,-3.806,0.0658,0.0172,0.00916,0.167,0.505,139.198,133227
3ZaEs1O8BG581qYPHpQ8d6,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),0.47,0.652,-9.629,0.0561,0.0831,4.08e-05,0.175,0.104,141.981,190286
1jxn3isffYQHcGmzy4Z309,100 BPM,0.72,0.722,-8.013,0.236,0.527,0.00122,0.103,0.299,109.97,146182
28hqNGfxgIuYTcdLi8LJwl,PO CO?,0.758,0.684,-8.214,0.0503,0.252,0.0248,0.114,0.409,128.013,183750
7zOVh5fGpEwSbZd0g9z80B,Satu Bulan,0.436,0.299,-10.42,0.0392,0.942,0.0498,0.118,0.244,85.744,200476
6wj06az0WX7fClA2w319dO,Kata Mereka Ini Berlebihan,0.397,0.444,-9.794,0.0371,0.877,0.0263,0.115,0.215,78.335,191141
2JqsSFo6HqOxnmxBtHfNY6,Aku Yang Jatuh Cinta,0.248,0.354,-9.114,0.0327,0.443,0.0,0.349,0.257,172.148,196343
2gcMYiZzzmzoF8PPAfL3IO,"Untungnya, Hidup Harus Tetap Berjalan",0.503,0.612,-9.455,0.0325,0.608,0.00797,0.198,0.299,84.956,182903
5KYUrBgdbIcqwaGSIgfXPl,Apa Mungkin,0.537,0.296,-12.37,0.0331,0.892,0.266,0.138,0.253,90.147,238880
5eBk8ZXcd0pb0AO4a5PpOg,Gala bunga matahari,0.339,0.332,-9.629,0.0455,0.931,1.77e-06,0.158,0.566,204.95,209694
0PtJbtW50jcvvswNPn3QGd,Serana,0.439,0.652,-5.403,0.0293,0.0624,0.372,0.126,0.247,130.029,250000
0UFYW8XaNvO6K8yZLMHPkB,Kini Mereka Tahu,0.583,0.484,-9.695,0.0306,0.904,0.146,0.116,0.243,149.96,284137
6cChz3Pak7UtjuVJJRZmCm,Sialan,0.593,0.583,-6.348,0.0306,0.4,0.0,0.194,0.656,142.0,241088
0pmyq5KBXP3agRdxl1SZXx,Lama-Lama,0.31,0.537,-8.736,0.0362,0.824,0.122,0.108,0.175,67.556,184671
1ZPVEo8RfmrEz8YAD5n6rW,Lantas,0.588,0.311,-8.143,0.025,0.791,0.0,0.352,0.545,86.022,234204
3zmN19fLAcKeDaajrIdWLB,Terlalu Cinta,0.357,0.466,-6.771,0.0332,0.838,2.3e-05,0.116,0.403,118.827,259042
1csKczcJqOSdK8JriLMpDW,Tampar,0.46,0.377,-9.024,0.0314,0.652,0.0,0.0947,0.433,169.896,202825
